label,sublabel,description,styles,bgcolor
燃やさないごみ,,「週1回の燃やさないごみの日」に埋立ごみとして出せるものです。長さがおおむね2ｍ以上、重さがおおむね55㎏以上のものは出せません。,Anorganik(tidak membusuk),#733b96
資源,,「月2回の資源回収の日」に出せるものです。,kertas.svg,#77ae1f
燃やすごみ,,「週2回の燃やすごみの日」に出せるものです。半透明の袋に入れて出してください。,Organik(depat membusuk),#ea3b13
びん,,「月1回のあきびんの日」に出せるものです。色ごとに分けて出してください。ビールびんや一升びんは、酒屋さんへ。,びん,#2dc7aa
